Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  6 | newX=  341.5398 | newY=  289.5806
particle=  7 | newX=  345.4883 | newY=  289.6395
particle=  8 | newX=  349.4508 | newY=  289.7311
particle=  9 | newX=  353.4287 | newY=  289.8542
STEP  45 | DAY  690
particle=  0 | newX=  318.7556 | newY=  279.2193
particle=  1 | newX=  322.5794 | newY=  279.0779
particle=  2 | newX=  326.4079 | newY=  278.9772
particle=  3 | newX=  330.2434 | newY=  278.9167
particle=  4 | newX=  334.0877 | newY=  278.8958
particle=  5 | newX=  337.9430 | newY=  278.9136
particle=  6 | newX=  341.8110 | newY=  278.9692
particle=  7 | newX=  345.6935 | newY=  279.0615
particle=  8 | newX=  349.5924 | newY=  279.1895
particle=  9 | newX=  353.5091 | newY=  279.3519
STEP  46 | DAY  705
particle=  0 | newX=  319.4048 | newY=  268.2623
particle=  1 | newX=  323.1451 | newY=  268.1363
particle=  2 | newX=  326.8915 | newY=  268.0555
particle=  3 | newX=  330.6465 | newY=  268.0193
particle=  4 | newX=  334.4123 | newY=  268.0268
particle=  5 | newX=  338.1912 | newY=  268.0772
particle=  6 | newX=  341.9853 | newY=  268.1691
particle=  7 | newX=  345.7965 | newY=  268.3015
particle=  8 | newX=  349.6268 | newY=  268.4728
particle=  9 | newX=  353.4780 | newY=  268.6815
STEP  47 | DAY  720
